epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,968.855,1.4996,1.72152,1.41397,1.01588,0,0.60532,0.76691,0.66195,0.33654,0.60532,0.76691,0.65914,0.33188,1.72801,2.13394,1.55005,1.22922,0,0.00045545,0.00045545,0.00045545
29,995.208,1.6385,2.28432,1.59242,1.13166,0,0.60466,0.76475,0.66536,0.32921,0.62423,0.78947,0.66319,0.3176,1.72146,2.13316,1.48275,1.22471,0,0.0004538,0.0004538,0.0004538
30,1021.63,1.73408,2.17943,1.57944,1.11186,0,0.65136,0.78669,0.69771,0.33406,0.65136,0.78669,0.69896,0.29283,1.71488,2.1473,1.46378,1.22476,0,0.00045215,0.00045215,0.00045215
31,1047.38,1.50228,2.26568,1.94806,1.00927,0,0.65136,0.78669,0.69771,0.33406,0.65136,0.78669,0.69896,0.29283,1.71488,2.1473,1.46378,1.22476,0,0.0004505,0.0004505,0.0004505
32,1074.64,1.50855,2.00369,1.44682,1.05102,0,0.62007,0.73026,0.66787,0.32907,0.62007,0.73026,0.67654,0.31733,1.74609,2.11963,1.53114,1.24571,0,0.00044885,0.00044885,0.00044885
33,1100.77,1.62062,1.84153,1.33157,1.11367,0,0.63405,0.68421,0.66905,0.32275,0.63405,0.68421,0.67768,0.3237,1.79062,2.11494,1.48832,1.27443,0,0.0004472,0.0004472,0.0004472
34,1127.41,1.89211,2.56038,1.5619,1.24716,0,0.58276,0.63158,0.64413,0.31793,0.58276,0.63158,0.65115,0.31758,1.81497,2.1802,1.48582,1.31118,0,0.00044555,0.00044555,0.00044555
35,1154.21,1.47088,1.97972,1.2733,1.05275,0,0.56907,0.63158,0.65707,0.31534,0.56907,0.63158,0.66224,0.31555,1.84699,2.27943,1.54735,1.32668,0,0.0004439,0.0004439,0.0004439
36,1180.44,1.64608,2.1489,1.23659,1.04875,0,0.74817,0.54744,0.63412,0.30616,0.74817,0.54744,0.63835,0.31978,1.86079,2.31659,1.71092,1.31604,0,0.00044225,0.00044225,0.00044225
37,1206.45,1.60621,2.14622,1.47184,1.08616,0,0.61982,0.57895,0.61954,0.3237,0.61982,0.57895,0.62809,0.32033,1.82593,2.25378,1.74565,1.2661,0,0.0004406,0.0004406,0.0004406
38,1233.06,1.611,2.09603,1.31401,1.09767,0,0.55373,0.68573,0.64554,0.34136,0.54004,0.71053,0.65002,0.34584,1.79795,2.11334,1.57718,1.23468,0,0.00043895,0.00043895,0.00043895
39,1258.02,1.57312,2.0091,1.56718,1.04635,0,0.55373,0.68573,0.64554,0.34136,0.54004,0.71053,0.65002,0.34584,1.79795,2.11334,1.57718,1.23468,0,0.0004373,0.0004373,0.0004373
40,1284.37,1.56711,2.01003,1.4148,1.06204,0,0.54243,0.73684,0.64438,0.34935,0.54253,0.78947,0.6543,0.36334,1.7694,2.08017,1.55135,1.22959,0,0.00043565,0.00043565,0.00043565
41,1310.87,1.46663,1.96474,1.20139,1.05988,0,0.52672,0.70301,0.6379,0.33385,0.53424,0.75473,0.64457,0.34462,1.76259,2.08693,1.47181,1.23195,0,0.000434,0.000434,0.000434
42,1336.59,1.49739,1.9786,1.22974,1.06013,0,0.57562,0.60683,0.64453,0.32842,0.57562,0.60683,0.65962,0.3248,1.73842,2.07905,1.41676,1.23544,0,0.00043235,0.00043235,0.00043235
43,1361.32,1.39676,1.90566,2.36098,0.96955,0,0.65205,0.57895,0.65908,0.32684,0.65205,0.57895,0.67234,0.33735,1.77594,2.07958,1.43127,1.26487,0,0.0004307,0.0004307,0.0004307
44,1390.49,1.62034,2.07548,1.30706,1.12433,0,0.58781,0.55263,0.62464,0.30419,0.58781,0.55263,0.64048,0.30794,1.81842,2.13287,1.47848,1.28537,0,0.00042905,0.00042905,0.00042905
45,1416.57,1.57355,1.96412,1.394,1.08167,0,0.55112,0.60526,0.62921,0.31567,0.55112,0.60526,0.64399,0.32342,1.78283,2.11501,1.52823,1.26056,0,0.0004274,0.0004274,0.0004274
46,1442.32,1.60101,1.95541,1.27902,1.07496,0,0.63883,0.57895,0.64273,0.31278,0.63883,0.57895,0.65802,0.34142,1.72334,2.08067,1.48114,1.22629,0,0.00042575,0.00042575,0.00042575
47,1467.81,1.66821,1.99164,1.42674,1.15942,0,0.63883,0.57895,0.64273,0.31278,0.63883,0.57895,0.65802,0.34142,1.72334,2.08067,1.48114,1.22629,0,0.0004241,0.0004241,0.0004241
48,1493.17,1.55363,2.03208,1.25794,1.09301,0,0.67569,0.57895,0.69399,0.34725,0.60367,0.68147,0.72634,0.37512,1.70308,1.9885,1.33372,1.21578,0,0.00042245,0.00042245,0.00042245
49,1519.73,1.72956,2.13146,1.73515,1.04883,0,0.65965,0.60526,0.69332,0.34636,0.67047,0.65789,0.7457,0.37619,1.67746,1.95997,1.29692,1.20962,0,0.0004208,0.0004208,0.0004208
50,1545.22,1.45783,2.08792,1.23073,1.06576,0,0.68837,0.65789,0.71781,0.36721,0.7159,0.68421,0.74607,0.35938,1.66124,2.0491,1.3233,1.19738,0,0.00041915,0.00041915,0.00041915
51,1570.5,1.64984,2.09929,1.26293,1.11144,0,0.67585,0.57895,0.67078,0.36162,0.708,0.60526,0.73458,0.34513,1.67438,2.18292,1.36165,1.19419,0,0.0004175,0.0004175,0.0004175
52,1596.23,1.37239,1.86639,1.09789,1.00377,0,0.67596,0.63158,0.7122,0.3561,0.67596,0.63158,0.73191,0.33496,1.68814,2.1992,1.38234,1.18298,0,0.00041585,0.00041585,0.00041585
53,1621.4,1.74368,2.00234,1.31634,1.12461,0,0.62146,0.63158,0.68642,0.35678,0.62146,0.63158,0.69534,0.32714,1.70322,2.2823,1.41631,1.17411,0,0.0004142,0.0004142,0.0004142
54,1647.51,1.74874,2.25079,1.43021,1.14526,0,0.59803,0.60526,0.67106,0.34585,0.59803,0.60526,0.67832,0.33133,1.73002,2.29407,1.446,1.18469,0,0.00041255,0.00041255,0.00041255
55,1673.3,1.48425,1.9311,1.32608,1.00957,0,0.59803,0.60526,0.67106,0.34585,0.59803,0.60526,0.67832,0.33133,1.73002,2.29407,1.446,1.18469,0,0.0004109,0.0004109,0.0004109
