epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,427.295,2.01115,2.2864,1.81399,1.05331,0,0.52645,0.4974,0.53469,0.23014,0.49688,0.5,0.53329,0.22843,2.05322,2.00734,1.77759,1.10861,0,0.0009043,0.0009043,0.0009043
31,441.911,2.02169,2.22698,1.66045,1.02516,0,0.59173,0.47368,0.53253,0.23539,0.59173,0.47368,0.52767,0.23611,1.99098,2.06741,1.74593,1.09572,0,0.000901,0.000901,0.000901
32,456.594,1.93984,2.19423,1.66422,1.01793,0,0.62121,0.47368,0.52297,0.24227,0.61959,0.44737,0.51545,0.22999,1.92099,2.11243,1.72649,1.07776,0,0.0008977,0.0008977,0.0008977
33,469.79,1.97879,2.41312,1.6359,1.013,0,0.67988,0.47368,0.54339,0.25068,0.63914,0.44737,0.53812,0.22816,1.90477,2.06768,1.78792,1.08044,0,0.0008944,0.0008944,0.0008944
34,484.828,1.94135,2.24659,1.63496,1.04355,0,0.66249,0.47368,0.54053,0.25705,0.61469,0.44737,0.5474,0.22222,1.8849,1.99812,1.81311,1.08176,0,0.0008911,0.0008911,0.0008911
35,502.411,2.00164,2.4168,2.01699,1.02571,0,0.47097,0.52632,0.52371,0.23925,0.47097,0.52632,0.52776,0.21545,1.88644,1.96713,1.83022,1.06805,0,0.0008878,0.0008878,0.0008878
36,517.163,1.96669,2.20415,1.69744,0.98697,0,0.56307,0.55263,0.52812,0.23756,0.56307,0.55263,0.53357,0.2152,1.85726,1.8286,1.82938,1.05566,0,0.0008845,0.0008845,0.0008845
37,532.566,2.04331,2.33609,1.78142,1.0635,0,0.54622,0.53867,0.53456,0.24121,0.52191,0.51726,0.47847,0.21643,1.89173,1.7553,1.88067,1.05777,0,0.0008812,0.0008812,0.0008812
38,543.755,2.03275,2.11234,1.55848,1.01911,0,0.54622,0.53867,0.53456,0.24121,0.52191,0.51726,0.47847,0.21643,1.89173,1.7553,1.88067,1.05777,0,0.0008779,0.0008779,0.0008779
39,560.493,2.14134,2.57509,1.70155,1.04638,0,0.55684,0.52632,0.52669,0.24364,0.55858,0.53295,0.51848,0.19742,1.90962,1.76726,1.86695,1.06027,0,0.0008746,0.0008746,0.0008746
